terms,level_1,level_2,level_3,type,Number
metabolite_utilization.pullulan.builds_acid_from,metabolite_utilization,builds_acid_from,pullulan,0,28
metabolite_utilization.alpha-cyclodextrin.builds_acid_from,metabolite_utilization,builds_acid_from,alpha-cyclodextrin,0,27
metabolite_utilization.glycogen.fermentation,metabolite_utilization,fermentation,glycogen,0,27
metabolite_utilization.D-glucose.builds_acid_from,metabolite_utilization,builds_acid_from,D-glucose,0,24
metabolite_utilization.D-glucose.fermentation,metabolite_utilization,fermentation,D-glucose,0,24
metabolite_utilization.citrate.carbon_source,metabolite_utilization,carbon_source,citrate,0,23
metabolite_utilization.D-mannitol.fermentation,metabolite_utilization,fermentation,D-mannitol,0,23
metabolite_utilization.methyl_beta-D-glucopyranoside.builds_acid_from,metabolite_utilization,builds_acid_from,methyl_beta-D-glucopyranoside,0,23
metabolite_utilization.D-fructose.builds_acid_from,metabolite_utilization,builds_acid_from,D-fructose,0,21
metabolite_utilization.esculin.builds_acid_from,metabolite_utilization,builds_acid_from,esculin,0,21
metabolite_utilization.lactose.fermentation,metabolite_utilization,fermentation,lactose,0,21
metabolite_utilization.D-xylose.fermentation,metabolite_utilization,fermentation,D-xylose,0,20
metabolite_utilization.ornithine.degradation,metabolite_utilization,degradation,ornithine,0,20
metabolite_utilization.L-arabinose.assimilation,metabolite_utilization,assimilation,L-arabinose,0,19
metabolite_utilization.D-mannitol.assimilation,metabolite_utilization,assimilation,D-mannitol,0,18
metabolite_production.acetoin.,metabolite_production,,acetoin,0,17
metabolite_utilization.citrate.assimilation,metabolite_utilization,assimilation,citrate,0,16
metabolite_production.hydrogen_sulfide.,metabolite_production,,hydrogen_sulfide,0,15
metabolite_utilization.N-acetylglucosamine.assimilation,metabolite_utilization,assimilation,N-acetylglucosamine,0,15
metabolite_utilization.adipate.assimilation,metabolite_utilization,assimilation,adipate,0,14
metabolite_utilization.decanoate.assimilation,metabolite_utilization,assimilation,decanoate,0,14
metabolite_utilization.nitrate.respiration,metabolite_utilization,respiration,nitrate,0,14
metabolite_utilization.cellobiose.degradation,metabolite_utilization,degradation,cellobiose,0,13
metabolite_utilization.D-glucose.assimilation,metabolite_utilization,assimilation,D-glucose,0,13
metabolite_utilization.gluconate.assimilation,metabolite_utilization,assimilation,gluconate,0,13
metabolite_utilization.sucrose.fermentation,metabolite_utilization,fermentation,sucrose,0,13
metabolite_utilization.D-mannose.assimilation,metabolite_utilization,assimilation,D-mannose,0,12
metabolite_utilization.D-ribose.fermentation,metabolite_utilization,fermentation,D-ribose,0,12
metabolite_utilization.malate.assimilation,metabolite_utilization,assimilation,malate,0,12
metabolite_utilization.maltose.assimilation,metabolite_utilization,assimilation,maltose,0,12
metabolite_utilization.maltose.fermentation,metabolite_utilization,fermentation,maltose,0,12
metabolite_utilization.lactose.degradation,metabolite_utilization,degradation,lactose,0,11
metabolite_utilization.starch.hydrolysis,metabolite_utilization,hydrolysis,starch,0,11
metabolite_utilization.sucrose.degradation,metabolite_utilization,degradation,sucrose,0,11
metabolite_utilization.D-arabinose.degradation,metabolite_utilization,degradation,D-arabinose,0,10
